City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,porto novo,6.4965,2.6036,28.9,81,38,3.56,BJ,1703025569
229,undurkhaan,47.3194,110.6556,-33.69,91,26,1.92,MN,1703025569
230,bodo,67.28,14.405,2.1,75,40,6.69,NO,1703025569
231,negombo,7.2083,79.8358,25.03,100,40,2.06,LK,1703025569
232,tamanrasset,22.785,5.5228,6.95,31,0,2.06,DZ,1703025569
233,port elizabeth,-33.918,25.5701,20.16,95,100,6.69,ZA,1703025569
234,hard bargain,26.3167,-77.5667,21.65,61,3,10.28,BS,1703025569
235,yulinshi,38.2906,109.7494,-19.58,82,10,1.53,CN,1703025569
236,hammerfest,70.6634,23.6821,-5.75,86,0,0.0,NO,1703025569
237,adrar,20.5022,-10.0711,12.8,23,100,6.38,MR,1703025569
238,tezu,27.9167,96.1667,13.93,46,4,1.88,IN,1703025569
239,roxas,11.5853,122.7511,24.52,90,94,3.44,PH,1703025569
240,jiuquan,39.7432,98.5174,-15.41,88,16,0.82,CN,1703025569
241,uturoa,-16.7333,-151.4333,26.8,82,100,4.94,PF,1703025569
242,fale old settlement,-9.3852,-171.2468,28.91,75,79,2.08,TK,1703025569
243,melo,-32.3667,-54.1833,17.66,75,99,6.71,UY,1703025570
244,viedma,-40.8135,-62.9967,15.12,43,80,6.85,AR,1703025570
245,elliot,-31.3333,27.85,13.08,84,5,0.74,ZA,1703025570
246,cascais,38.6979,-9.4215,12.51,83,43,7.6,PT,1703025570
247,mount pearl,47.5166,-52.7813,12.69,89,75,9.26,CA,1703025570
248,vinkovci,45.2883,18.8047,-0.03,100,0,3.6,HR,1703025570
249,altai,46.3722,96.2583,-24.54,42,4,0.77,MN,1703025570
250,adre,13.4667,22.2,20.27,27,100,3.63,TD,1703025570
251,kingston,17.997,-76.7936,26.53,78,75,6.17,JM,1703025570
252,tottori,35.5,134.2333,4.04,81,75,2.06,JP,1703025570
253,horta,38.5333,-28.6333,16.12,80,100,7.15,PT,1703025570
254,sumbawa besar,-8.5,117.4333,24.25,77,24,1.58,ID,1703025570
255,aykhal,66.0,111.5,-22.7,88,99,3.0,RU,1703025570
256,ta`u,-14.2336,-169.5144,27.85,80,95,4.61,AS,1703025570
257,kargopol',61.5071,38.9456,0.26,85,100,6.57,RU,1703025571
258,golfito,8.639,-83.166,25.84,90,32,0.94,CR,1703025571
259,mao,39.8885,4.2658,10.31,93,0,3.09,ES,1703025571
260,dudinka,69.4058,86.1778,-13.54,76,100,13.24,RU,1703025571
261,iskateley,67.6803,53.1512,-12.77,97,87,4.47,RU,1703025571
262,santa cruz,-17.8,-63.1667,26.7,78,75,3.6,BO,1703025570
263,hadibu,12.65,54.0333,24.64,80,13,5.35,YE,1703025571
264,mount pleasant,32.7941,-79.8626,7.21,48,0,2.06,US,1703025287
265,hachinohe,40.5,141.5,-1.08,91,100,4.17,JP,1703025571
266,nizhniy kuranakh,58.8353,125.4869,-25.23,98,100,2.85,RU,1703025571
267,letterkenny,54.95,-7.7333,8.94,83,100,8.11,IE,1703025571
268,klyavlino,54.2649,52.0267,-2.28,94,100,10.64,RU,1703025571
269,afaahiti,-17.75,-149.2833,26.93,89,100,4.21,PF,1703025571
270,amga,60.8953,131.9608,-45.34,100,98,0.13,RU,1703025571
271,aasiaat,68.7098,-52.8699,-20.04,89,38,2.67,GL,1703025571
272,saint-pierre,-21.3393,55.4781,25.87,83,0,3.09,RE,1703025572
273,kruisfontein,-34.0033,24.7314,18.13,92,50,1.83,ZA,1703025572
274,vilyuchinsk,52.9306,158.4028,-15.85,81,100,3.83,RU,1703025572
